minimum,maximum,win,lose
0.000000000000000000e+00,2.000000000000000111e-01,2.222222222222222307e-02,9.777777777777777457e-01
2.000000000000000111e-01,4.000000000000000222e-01,2.524213075060532940e-01,7.475786924939467060e-01
4.000000000000000222e-01,6.000000000000000888e-01,8.986742424242424310e-01,1.013257575757575690e-01
6.000000000000000888e-01,8.000000000000000444e-01,1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
