minimum,maximum,win,lose
0.000000000000000000e+00,2.000000000000000111e-01,5.000000000000000000e-01,5.000000000000000000e-01
2.000000000000000111e-01,4.000000000000000222e-01,2.500000000000000000e-01,7.500000000000000000e-01
4.000000000000000222e-01,6.000000000000000888e-01,4.459358687546606803e-01,5.540641312453392642e-01
6.000000000000000888e-01,8.000000000000000444e-01,5.476529160739687097e-01,4.523470839260312903e-01
8.000000000000000444e-01,1.000000000000000000e+00,8.421052631578946901e-01,1.578947368421052544e-01
