Final,0.0,0.2,0,0
semi,0.0,0.2,0,0
quarter,0.0,0.2,0,0
Fourth,0.0,0.2,0,0
Third,0.0,0.2,0.5,0.5
Second,0.0,0.2,0,0
First,0.0,0.2,0,0
Final,0.2,0.4,0,0
semi,0.2,0.4,0,0
quarter,0.2,0.4,0,0
Fourth,0.2,0.4,0,0
Third,0.2,0.4,0,0
Second,0.2,0.4,0.0,1.0
First,0.2,0.4,0.3333333333333333,0.6666666666666666
Final,0.4,0.6000000000000001,0.5,0.5
semi,0.4,0.6000000000000001,0.3333333333333333,0.6666666666666666
quarter,0.4,0.6000000000000001,0.5142857142857142,0.4857142857142857
Fourth,0.4,0.6000000000000001,0.4444444444444444,0.5555555555555556
Third,0.4,0.6000000000000001,0.44516129032258067,0.5548387096774193
Second,0.4,0.6000000000000001,0.4553846153846154,0.5446153846153846
First,0.4,0.6000000000000001,0.44,0.56
Final,0.6000000000000001,0.8,0.5,0.5
semi,0.6000000000000001,0.8,0.5862068965517241,0.41379310344827586
quarter,0.6000000000000001,0.8,0.49056603773584906,0.5094339622641509
Fourth,0.6000000000000001,0.8,0.5294117647058824,0.47058823529411764
Third,0.6000000000000001,0.8,0.5372340425531915,0.4627659574468085
Second,0.6000000000000001,0.8,0.5376344086021505,0.46236559139784944
First,0.6000000000000001,0.8,0.5626911314984709,0.43730886850152906
Final,0.8,1.0,0,0
semi,0.8,1.0,0,0
quarter,0.8,1.0,0,0
Fourth,0.8,1.0,1.0,0.0
Third,0.8,1.0,1.0,0.0
Second,0.8,1.0,0.75,0.25
First,0.8,1.0,0.8,0.2
Final,0.0,0.2,0,0
semi,0.0,0.2,0,0
quarter,0.0,0.2,0,0
Fourth,0.0,0.2,0,0
Third,0.0,0.2,0.5,0.5
Second,0.0,0.2,0,0
First,0.0,0.2,0,0
Final,0.2,0.4,0,0
semi,0.2,0.4,0,0
quarter,0.2,0.4,0,0
Fourth,0.2,0.4,0,0
Third,0.2,0.4,0,0
Second,0.2,0.4,0.0,1.0
First,0.2,0.4,0.3333333333333333,0.6666666666666666
Final,0.4,0.6000000000000001,0.5,0.5
semi,0.4,0.6000000000000001,0.3333333333333333,0.6666666666666666
quarter,0.4,0.6000000000000001,0.5142857142857142,0.4857142857142857
Fourth,0.4,0.6000000000000001,0.4444444444444444,0.5555555555555556
Third,0.4,0.6000000000000001,0.44516129032258067,0.5548387096774193
Second,0.4,0.6000000000000001,0.4553846153846154,0.5446153846153846
First,0.4,0.6000000000000001,0.44,0.56
Final,0.6000000000000001,0.8,0.5,0.5
semi,0.6000000000000001,0.8,0.5862068965517241,0.41379310344827586
quarter,0.6000000000000001,0.8,0.49056603773584906,0.5094339622641509
Fourth,0.6000000000000001,0.8,0.5294117647058824,0.47058823529411764
Third,0.6000000000000001,0.8,0.5372340425531915,0.4627659574468085
Second,0.6000000000000001,0.8,0.5376344086021505,0.46236559139784944
First,0.6000000000000001,0.8,0.5626911314984709,0.43730886850152906
Final,0.8,1.0,0,0
semi,0.8,1.0,0,0
quarter,0.8,1.0,0,0
Fourth,0.8,1.0,1.0,0.0
Third,0.8,1.0,1.0,0.0
Second,0.8,1.0,0.75,0.25
First,0.8,1.0,0.8,0.2
