minimum,maximum,win,lose
0.000000000000000000e+00,2.000000000000000111e-01,5.637254901960784409e-02,9.436274509803921351e-01
2.000000000000000111e-01,4.000000000000000222e-01,4.589426321709786372e-01,5.410573678290213628e-01
4.000000000000000222e-01,6.000000000000000888e-01,6.550387596899225340e-01,3.449612403100775215e-01
6.000000000000000888e-01,8.000000000000000444e-01,7.474747474747475140e-01,2.525252525252525415e-01
8.000000000000000444e-01,1.000000000000000000e+00,7.321428571428570953e-01,2.678571428571428492e-01
