minimum,maximum,win,lose
0.000000000000000000e+00,4.400000000000000000e+01,2.105263157894736725e-01,7.894736842105263275e-01
4.400000000000000000e+01,8.800000000000000000e+01,1.646884272997032606e-01,8.353115727002967672e-01
8.800000000000000000e+01,1.320000000000000000e+02,6.242331288343557771e-01,3.757668711656441674e-01
1.320000000000000000e+02,1.760000000000000000e+02,6.167192429022082534e-01,3.832807570977918021e-01
1.760000000000000000e+02,2.200000000000000000e+02,5.643564356435643026e-01,4.356435643564356419e-01
