,round,year,player,firstServe,ace,double,firstPointWon,secPointWon,avgSecServe,break,return,total,error,temp_winner
694,First,2005,Igor Andreev,0.6,7,5,0.8,0.66,119.90135396518376,0.8,0.43,99,22.0,1
695,First,2005,Fernando Gonzalez,0.58,9,10,0.73,0.52,148.0,0.31,0.36,154,52.0,1
696,First,2005,Lleyton Hewitt,0.66,12,2,0.87,0.48,149.0,0.63,0.43,88,23.0,1
697,First,2005,Santiago Ventura,0.54,8,7,0.72,0.61,119.90135396518376,0.44,0.33,154,55.0,1
698,First,2005,Nathan Healey,0.57,13,8,0.72,0.53,119.90135396518376,0.58,0.44,113,44.0,1
699,First,2005,Rafael Nadal,0.77,1,1,0.77,0.54,144.0,0.8,0.59,82,16.0,1
700,First,2005,Juan Ignacio Chela,0.74,3,0,0.85,0.64,170.0,0.5,0.34,119,4.0,1
701,First,2005,Mariano Zabaleta,0.66,8,7,0.82,0.61,146.0,0.35,0.39,138,49.0,1
702,First,2005,Jean0Rene Lisnard,0.51,8,15,0.7,0.49,119.90135396518376,0.39,0.4,196,59.0,1
703,First,2005,Mikhail Youzhny,0.59,1,0,0.85,0.82,141.0,0.71,0.43,96,25.0,1
704,First,2005,Greg Rusedski,0.57,14,9,0.74,0.6,149.0,0.38,0.41,129,35.0,1
705,First,2005,Nikolay Davydenko,0.69,3,3,0.66,0.67,119.90135396518376,0.42,0.53,99,29.0,1
706,First,2005,Ricardo Mello,0.69,5,4,0.8,0.42,119.90135396518376,0.38,0.48,123,14.0,1
707,First,2005,Fernando Verdasco,0.64,5,2,0.82,0.65,119.90135396518376,0.33,0.48,92,15.0,1
708,First,2005,Jurgen Melzer,0.41,0,1,0.71,0.56,119.90135396518376,0.5,0.5,20,9.0,1
709,First,2005,Andy Roddick,0.66,11,0,0.85,0.75,162.0,0.56,0.47,96,19.0,1
710,First,2005,Guillermo Coria,0.62,2,5,0.81,0.67,154.0,0.7,0.54,85,15.0,1
711,First,2005,Tim Henman,0.63,4,4,0.68,0.62,157.0,0.57,0.47,128,37.0,1
712,First,2005,Sebastien Grosjean,0.65,3,2,0.73,0.5,119.90135396518376,0.5,0.48,105,18.0,1
713,First,2005,Jan Hernych,0.71,5,2,0.82,0.57,119.90135396518376,0.41,0.47,134,32.0,1
714,First,2005,Guillermo Canas,0.69,7,3,0.8,0.47,165.0,0.25,0.43,121,12.0,1
715,First,2005,Nicolas Massu,0.57,9,6,0.81,0.67,146.0,0.25,0.38,160,45.0,1
716,First,2005,Gregory Carraz,0.57,30,12,0.78,0.5,119.90135396518376,0.38,0.42,160,53.0,1
717,First,2005,Radek Stepanek,0.59,10,8,0.77,0.59,119.90135396518376,0.31,0.33,163,60.0,1
718,First,2005,Andrei Pavel,0.72,9,1,0.76,0.55,119.90135396518376,0.55,0.48,96,22.0,1
719,First,2005,James Blake,0.53,5,4,0.83,0.69,127.0,0.58,0.55,90,17.0,1
720,First,2005,Christophe Rochus,0.68,7,2,0.8,0.6,119.90135396518376,0.43,0.5,97,22.0,1
721,First,2005,Dominik Hrbaty,0.58,7,6,0.74,0.63,119.90135396518376,0.83,0.55,61,23.0,1
722,First,2005,Takao Suzuki,0.63,10,1,0.8,0.69,119.90135396518376,0.67,0.37,93,13.0,1
723,First,2005,Tomas Zib,0.63,4,1,0.59,0.53,133.0,0.47,0.51,112,33.0,1
724,First,2005,Feliciano Lopez,0.54,11,5,0.82,0.76,119.90135396518376,0.67,0.36,104,13.0,1
725,First,2005,Thomas Johansson,0.5,24,7,0.82,0.53,139.0,0.38,0.37,159,61.0,1
726,First,2005,Olivier Rochus,0.57,1,5,0.67,0.52,148.0,0.41,0.43,149,38.0,1
727,First,2005,Sargis Sargsian,0.6,9,7,0.76,0.41,119.90135396518376,0.75,0.4,148,69.0,1
728,First,2005,Kevin Kim,0.65,13,3,0.73,0.5,139.0,0.29,0.41,147,43.0,1
729,First,2005,Peter Wessels,0.63,9,1,0.87,0.73,157.0,0.8,0.4,90,17.0,1
730,First,2005,Gaston Gaudio,0.64,2,6,0.77,0.66,141.0,0.83,0.42,108,26.0,1
731,First,2005,Marat Safin,0.53,1,1,0.93,0.54,149.0,0.69,0.68,83,20.0,1
732,First,2005,Bohdan Ulihrach,0.69,4,3,0.84,0.7,119.90135396518376,0.25,0.35,138,10.0,1
733,First,2005,Rainer Schuettler,0.61,6,2,0.8,0.64,119.90135396518376,0.4,0.42,114,36.0,1
734,First,2005,Gael Monfils,0.54,15,8,0.79,0.48,119.90135396518376,0.5,0.36,125,39.0,1
735,First,2005,Michal Tabara,0.42,14,9,0.73,0.51,119.90135396518376,0.53,0.47,121,42.0,1
736,First,2005,Paradorn Srichaphan,0.61,9,2,0.7,0.52,151.0,0.32,0.39,121,57.0,1
737,First,2005,Agustin Calleri,0.6,15,10,0.74,0.62,119.90135396518376,0.71,0.32,154,48.0,1
738,First,2005,Taylor Dent,0.65,8,9,0.78,0.36,119.90135396518376,0.64,0.47,102,32.0,1
739,First,2005,Jarkko Nieminen,0.62,3,3,0.71,0.61,119.90135396518376,0.7,0.44,107,33.0,1
740,First,2005,Janko Tipsarevic,0.54,10,6,0.7,0.63,119.90135396518376,0.71,0.39,143,57.0,1
741,First,2005,Mario Ancic,0.68,10,1,0.8,0.75,119.90135396518376,0.35,0.51,95,19.0,1
742,First,2005,Tommy Robredo,0.6,5,3,0.74,0.59,135.0,0.5,0.45,122,39.0,1
743,First,2005,Bjorn Phau,0.52,7,3,0.67,0.66,119.90135396518376,0.44,0.5,124,30.0,1
744,First,2005,Ivan Ljubicic,0.64,14,2,0.84,0.8,119.90135396518376,0.57,0.42,93,19.0,1
745,First,2005,Tommy Haas,0.59,10,0,0.87,0.7,143.0,0.36,0.46,100,27.0,1
746,First,2005,Mardy Fish,0.54,19,8,0.78,0.46,151.0,0.44,0.41,168,81.0,1
747,First,2005,Roger Federer,0.6,4,1,0.8,0.56,138.0,0.39,0.53,100,23.0,1
748,First,2005,Marcos Baghdatis,0.58,12,3,0.71,0.63,119.90135396518376,0.4,0.44,147,40.0,1
749,First,2005,Guillermo Garcia0Lopez,0.51,13,6,0.69,0.61,143.0,0.5,0.39,125,46.0,1
750,First,2005,Karol Beck,0.4,9,8,0.81,0.57,135.0,0.41,0.51,105,33.0,1
751,First,2005,Joachim Johansson,0.58,17,3,0.84,0.72,149.0,0.67,0.38,97,38.0,1
752,First,2005,Andre Agassi,0.59,8,5,0.85,0.65,146.0,0.35,0.55,108,26.0,1
753,Final,2006,Roger Federer,0.53,11,6,0.71,0.51,146.0,0.67,0.46,142,48.0,1
754,semi,2006,Roger Federer,0.66,7,5,0.71,0.67,154.0,0.32,0.45,129,33.0,1
755,semi,2006,Marcos Baghdatis,0.56,15,2,0.7,0.5,148.0,0.62,0.41,152,41.0,1
756,quarter,2006,Roger Federer,0.62,6,0,0.74,0.53,151.0,0.4,0.36,144,52.0,1
757,quarter,2006,Nicolas Kiefer,0.45,4,9,0.62,0.51,139.0,0.56,0.41,160,67.0,1
758,quarter,2006,David Nalbandian,0.61,2,0,0.74,0.72,133.0,0.53,0.57,90,17.0,1
759,quarter,2006,Marcos Baghdatis,0.53,8,4,0.8,0.6,154.0,0.27,0.35,146,26.0,1
760,Fourth,2006,Nicolas Kiefer,0.46,5,3,0.84,0.51,146.0,0.71,0.41,101,33.0,1
761,Fourth,2006,Sebastien Grosjean,0.43,12,3,0.94,0.46,152.0,0.57,0.51,93,23.0,1
762,Fourth,2006,Roger Federer,0.58,10,1,0.78,0.53,152.0,0.55,0.39,143,58.0,1
763,Fourth,2006,Nikolay Davydenko,0.69,6,3,0.59,0.62,143.0,0.67,0.44,161,60.0,1
764,Fourth,2006,Fabrice Santoro,0.6,6,0,0.63,0.47,143.0,0.56,0.52,108,14.0,1
765,Fourth,2006,Ivan Ljubicic,0.53,12,1,0.77,0.71,149.0,0.57,0.41,97,16.0,1
766,Fourth,2006,Marcos Baghdatis,0.48,16,1,0.72,0.57,173.0,0.3,0.33,116,26.0,1
767,Fourth,2006,David Nalbandian,0.65,3,2,0.73,0.66,151.0,0.32,0.48,116,28.0,1
768,Third,2006,Roger Federer,0.67,6,2,0.79,0.87,165.0,0.27,0.44,104,10.0,1
769,Third,2006,Nicolas Kiefer,0.51,13,4,0.87,0.56,144.0,0.36,0.4,125,34.0,1
770,Third,2006,Paul0Henri Mathieu,0.63,18,1,0.78,0.61,146.0,0.42,0.44,123,26.0,1
771,Third,2006,Dominik Hrbaty,0.56,12,5,0.61,0.57,143.0,0.24,0.41,160,63.0,1
772,Third,2006,Juan Ignacio Chela,0.55,4,3,0.79,0.58,146.0,0.36,0.43,101,16.0,1
773,Third,2006,Tommy Haas,0.6,18,1,0.81,0.62,149.0,0.5,0.35,123,30.0,1
774,Third,2006,Sebastien Grosjean,0.51,7,8,0.73,0.4,141.0,0.35,0.52,128,48.0,1
775,Third,2006,Nikolay Davydenko,0.75,4,2,0.74,0.71,156.0,0.28,0.41,144,38.0,1
776,Third,2006,Andy Roddick,0.6,17,1,0.86,0.64,149.0,0.86,0.56,81,16.0,1
777,Third,2006,David Nalbandian,0.65,6,3,0.63,0.58,125.0,0.37,0.46,141,52.0,1
778,Third,2006,David Ferrer,0.71,0,2,0.65,0.58,148.0,0.46,0.48,94,16.0,1
779,Third,2006,Thomas Johansson,0.58,9,1,0.85,0.53,133.0,0.4,0.46,89,27.0,1
780,Third,2006,Marcos Baghdatis,0.55,5,3,0.67,0.6,127.0,0.73,0.59,82,17.0,1
781,Third,2006,Tommy Robredo,0.57,9,6,0.78,0.65,154.0,0.31,0.43,103,14.0,1
782,Third,2006,Fabrice Santoro,0.55,9,5,0.67,0.43,141.0,0.62,0.43,156,19.0,1
783,Third,2006,Ivan Ljubicic,0.55,10,4,0.83,0.53,164.0,0.29,0.44,119,23.0,1
784,Second,2006,Nathan Healey,0.6,10,6,0.74,0.63,159.0,0.43,0.3,134,31.0,1
785,Second,2006,Kristof Vliegen,0.67,10,2,0.68,0.41,119.90135396518376,0.32,0.43,152,51.0,1
786,Second,2006,Juan Ignacio Chela,0.64,6,0,0.63,0.64,139.0,0.38,0.45,147,34.0,1
787,Second,2006,Igor Andreev,0.68,9,4,0.7,0.52,119.90135396518376,0.56,0.37,145,48.0,1
788,Second,2006,Peter Luczak,0.69,22,3,0.75,0.5,136.0,0.5,0.39,155,44.0,1
789,Second,2006,Luis Horna,0.71,8,2,0.83,0.47,119.90135396518376,0.7,0.56,82,18.0,1
790,Second,2006,Tommy Haas,0.54,2,0,0.94,0.65,141.0,0.78,0.52,79,20.0,1
791,Second,2006,Nicolas Kiefer,0.51,15,4,0.79,0.48,143.0,0.56,0.5,125,34.0,1
792,Second,2006,Guillermo Coria,0.78,1,9,0.68,0.46,141.0,0.28,0.45,132,33.0,1
793,Second,2006,Dominik Hrbaty,0.59,11,12,0.8,0.48,119.90135396518376,0.26,0.43,203,43.0,1
794,Second,2006,Sebastien Grosjean,0.45,3,1,0.87,0.49,148.0,0.86,0.46,90,26.0,1
795,Second,2006,Max Mirnyi,0.66,7,4,0.71,0.63,119.90135396518376,0.33,0.36,152,36.0,1
796,Second,2006,Paul0Henri Mathieu,0.49,13,3,0.88,0.54,119.90135396518376,0.37,0.5,116,32.0,1
797,Second,2006,Nikolay Davydenko,0.79,3,2,0.67,0.67,128.0,0.57,0.47,115,38.0,1
798,Second,2006,Juan Carlos Ferrero,0.62,14,2,0.74,0.53,136.0,0.35,0.44,156,27.0,1
799,Second,2006,Roger Federer,0.61,9,1,0.76,0.62,139.0,0.6,0.51,87,18.0,1
800,Second,2006,David Ferrer,0.66,5,2,0.65,0.49,141.0,0.69,0.51,145,39.0,1
801,Second,2006,Denis Gremelmayr,0.5,8,10,0.67,0.46,144.0,0.67,0.41,163,58.0,1
802,Second,2006,Gaston Gaudio,0.55,1,1,0.76,0.64,146.0,0.55,0.49,93,17.0,1
803,Second,2006,Ivan Ljubicic,0.52,3,4,0.7,0.62,143.0,0.44,0.49,107,22.0,1
804,Second,2006,Gilles Simon,0.49,6,3,0.73,0.54,156.0,0.78,0.49,135,38.0,1
805,Second,2006,Thomas Johansson,0.53,12,4,0.75,0.53,136.0,0.45,0.36,153,57.0,1
806,Second,2006,Andy Roddick,0.62,11,1,0.85,0.69,170.0,0.44,0.36,92,9.0,1
807,Second,2006,James Blake,0.55,5,3,0.77,0.51,144.0,0.47,0.47,119,33.0,1
808,Second,2006,David Nalbandian,0.66,2,3,0.66,0.72,156.0,0.33,0.4,136,46.0,1
809,Second,2006,Tommy Robredo,0.73,5,2,0.69,0.65,141.0,0.67,0.39,154,55.0,1
810,Second,2006,Feliciano Lopez,0.61,17,5,0.8,0.5,156.0,0.38,0.4,138,39.0,1
811,Second,2006,Jarkko Nieminen,0.62,4,2,0.72,0.7,139.0,0.67,0.49,107,23.0,1
812,Second,2006,Mario Ancic,0.63,10,2,0.91,0.64,149.0,0.27,0.4,90,22.0,1
813,Second,2006,Fabrice Santoro,0.59,8,2,0.69,0.46,119.90135396518376,0.64,0.52,102,18.0,1
814,Second,2006,Julien Benneteau,0.75,8,4,0.78,0.6,119.90135396518376,0.25,0.39,108,27.0,1
815,Second,2006,Marcos Baghdatis,0.51,6,6,0.72,0.57,152.0,0.42,0.39,141,46.0,1
816,First,2006,Florian Mayer,0.5,10,3,0.78,0.43,143.0,0.64,0.49,120,44.0,1
817,First,2006,Dominik Hrbaty,0.58,7,8,0.7,0.55,119.90135396518376,0.43,0.49,153,48.0,1
818,First,2006,Nathan Healey,0.55,3,4,0.78,0.68,119.90135396518376,0.42,0.54,70,11.0,1
819,First,2006,Boris Pashanski,0.67,6,0,0.74,0.68,119.90135396518376,0.33,0.37,137,20.0,1
820,First,2006,Janko Tipsarevic,0.53,9,3,0.68,0.51,119.90135396518376,0.5,0.42,142,38.0,1
821,First,2006,Amer Delic,0.61,14,8,0.71,0.54,119.90135396518376,0.33,0.36,173,67.0,1
822,First,2006,Fernando Verdasco,0.63,3,6,0.84,0.54,149.0,0.13,0.37,116,30.0,1
823,First,2006,Roger Federer,0.69,2,0,0.83,0.57,152.0,0.55,0.49,91,19.0,1
824,First,2006,Kristof Vliegen,0.66,17,3,0.79,0.47,119.90135396518376,0.75,0.48,91,26.0,1
825,First,2006,Juan Carlos Ferrero,0.57,8,0,0.73,0.67,141.0,0.67,0.53,91,24.0,1
826,First,2006,Raemon Sluiter,0.57,7,5,0.78,0.61,119.90135396518376,0.38,0.39,114,53.0,1
827,First,2006,Paul Goldstein,0.62,2,7,0.71,0.45,119.90135396518376,0.32,0.46,123,21.0,1
828,First,2006,Dick Norman,0.63,18,9,0.72,0.33,119.90135396518376,0.46,0.39,165,90.0,1
829,First,2006,Luis Horna,0.84,1,2,0.73,0.67,139.0,0.55,0.44,94,24.0,1
830,First,2006,Tommy Haas,0.62,7,1,0.79,0.54,148.0,0.6,0.42,96,33.0,1
831,First,2006,Juan Monaco,0.58,2,4,0.68,0.56,119.90135396518376,0.5,0.46,128,49.0,1
832,First,2006,Peter Luczak,0.64,15,2,0.78,0.68,146.0,0.5,0.26,106,23.0,1
833,First,2006,Davide Sanguinetti,0.57,5,1,0.77,0.63,119.90135396518376,0.42,0.46,116,39.0,1
834,First,2006,Igor Andreev,0.64,3,1,0.75,0.53,119.90135396518376,0.42,0.41,102,31.0,1
835,First,2006,Lleyton Hewitt,0.58,11,13,0.64,0.36,138.0,0.43,0.44,173,61.0,1
836,First,2006,Sebastien Grosjean,0.45,6,1,0.74,0.76,156.0,0.67,0.46,90,3.0,1
837,First,2006,Max Mirnyi,0.74,11,7,0.73,0.53,119.90135396518376,0.58,0.4,150,23.0,1
838,First,2006,Nicolas Kiefer,0.47,11,6,0.72,0.53,154.0,0.63,0.49,174,48.0,1
839,First,2006,Paul0Henri Mathieu,0.58,11,3,0.73,0.52,119.90135396518376,0.57,0.43,106,37.0,1
840,First,2006,Federico Luzzi,0.55,8,2,0.87,0.46,119.90135396518376,0.5,0.42,91,32.0,1
841,First,2006,Olivier Rochus,0.66,2,0,0.71,0.84,119.90135396518376,0.71,0.44,89,7.0,1
842,First,2006,Juan Ignacio Chela,0.64,1,1,0.7,0.67,141.0,0.63,0.45,93,22.0,1
843,First,2006,Bjorn Phau,0.51,2,5,0.63,0.51,119.90135396518376,0.67,0.45,138,69.0,1
844,First,2006,Guillermo Coria,0.69,2,17,0.57,0.24,143.0,0.43,0.53,156,50.0,1
845,First,2006,Alex Jr. Bogomolov,0.71,7,10,0.64,0.34,151.0,0.69,0.4,195,55.0,1
846,First,2006,Nikolay Davydenko,0.81,5,4,0.73,0.55,173.0,0.27,0.33,165,29.0,1
847,First,2006,Kevin Kim,0.62,8,6,0.72,0.54,119.90135396518376,0.67,0.5,108,27.0,1
848,First,2006,Lars Burgsmuller,0.57,3,5,0.68,0.44,119.90135396518376,0.7,0.43,119,43.0,1
849,First,2006,Gaston Gaudio,0.55,6,2,0.83,0.53,138.0,0.45,0.58,55,11.0,1
850,First,2006,Feliciano Lopez,0.54,13,1,0.83,0.64,119.90135396518376,0.26,0.43,112,38.0,1
851,First,2006,Daniele Bracciali,0.57,11,3,0.8,0.49,119.90135396518376,0.6,0.52,104,34.0,1
852,First,2006,Mario Ancic,0.57,9,4,0.78,0.43,151.0,0.32,0.41,125,36.0,1
853,First,2006,David Ferrer,0.65,3,4,0.61,0.51,119.90135396518376,0.5,0.51,141,37.0,1
854,First,2006,Fabrice Santoro,0.57,1,1,0.68,0.65,119.90135396518376,0.44,0.5,113,15.0,1
855,First,2006,Jean0Christophe Faurel,0.72,7,4,0.77,0.52,119.90135396518376,0.43,0.41,120,17.0,1
856,First,2006,Robby Ginepri,0.51,1,4,0.78,0.5,148.0,0.57,0.57,85,18.0,1
857,First,2006,Jan Hernych,0.71,5,4,0.71,0.49,119.90135396518376,0.31,0.39,138,65.0,1
858,First,2006,Radek Stepanek,0.58,1,1,0.71,0.73,119.90135396518376,0.86,0.52,79,21.0,1
859,First,2006,Wesley Moodie,0.63,21,9,0.77,0.55,119.90135396518376,0.25,0.35,139,40.0,1
860,First,2006,Thomas Johansson,0.54,13,3,0.82,0.58,157.0,0.31,0.43,116,23.0,1
861,First,2006,Guillermo Garcia0Lopez,0.64,9,4,0.79,0.47,172.0,0.67,0.38,108,12.0,1
862,First,2006,Tommy Robredo,0.72,10,4,0.73,0.55,119.90135396518376,0.27,0.41,116,17.0,1
863,First,2006,David Nalbandian,0.62,5,6,0.66,0.44,146.0,0.6,0.44,165,61.0,1
864,First,2006,Tomas Berdych,0.53,24,7,0.8,0.45,119.90135396518376,0.67,0.44,147,58.0,1
865,First,2006,Dmitry Tursunov,0.56,7,8,0.73,0.4,151.0,0.5,0.46,153,41.0,1
866,First,2006,Jimmy Wang,0.61,4,2,0.72,0.66,148.0,0.35,0.49,97,18.0,1
867,First,2006,James Blake,0.55,11,2,0.7,0.53,151.0,0.35,0.41,134,40.0,1
868,First,2006,Julien Benneteau,0.7,4,1,0.74,0.8,119.90135396518376,0.6,0.57,72,14.0,1
869,First,2006,Philipp Kohlschreiber,0.54,12,1,0.84,0.59,119.90135396518376,0.38,0.46,102,23.0,1
870,First,2006,Stanislas Wawrinka,0.53,10,6,0.85,0.51,119.90135396518376,0.75,0.4,106,40.0,1
871,First,2006,Jarkko Nieminen,0.73,2,2,0.73,0.48,119.90135396518376,0.88,0.51,85,23.0,1
872,First,2006,Denis Gremelmayr,0.55,8,2,0.75,0.55,119.90135396518376,0.73,0.53,113,19.0,1
873,First,2006,Ivan Ljubicic,0.63,13,1,0.84,0.66,156.0,0.2,0.32,117,9.0,1
874,First,2006,Andrei Pavel,0.68,0,3,0.7,0.41,144.0,0.27,0.39,161,55.0,1
875,First,2006,Xavier Malisse,0.49,7,2,0.75,0.5,119.90135396518376,0.47,0.46,137,37.0,1
876,First,2006,Andy Roddick,0.58,7,2,0.85,0.45,143.0,0.67,0.5,91,23.0,1
877,First,2006,Marcos Baghdatis,0.46,4,4,0.87,0.56,119.90135396518376,0.4,0.46,110,21.0,1
878,First,2006,Gilles Simon,0.53,8,3,0.67,0.5,119.90135396518376,0.38,0.44,180,65.0,1
879,Final,2007,Roger Federer,0.58,5,1,0.82,0.78,119.90135396518376,0.3,0.4,120,19.0,1
880,semi,2007,Fernando Gonzalez,0.63,9,0,0.87,0.64,119.90135396518376,0.58,0.51,82,3.0,1
881,semi,2007,Roger Federer,0.51,10,2,0.81,0.68,119.90135396518376,1.0,0.55,83,12.0,1
882,quarter,2007,Tommy Haas,0.59,9,8,0.69,0.48,119.90135396518376,0.38,0.4,134,45.0,1
883,quarter,2007,Fernando Gonzalez,0.66,10,0,0.73,0.61,119.90135396518376,0.63,0.4,89,16.0,1
884,quarter,2007,Roger Federer,0.63,5,1,0.72,0.58,119.90135396518376,0.5,0.47,119,31.0,1
885,quarter,2007,Andy Roddick,0.62,10,2,0.92,0.52,119.90135396518376,0.54,0.54,85,2.0,1
886,Fourth,2007,Tommy Haas,0.71,16,2,0.76,0.45,119.90135396518376,0.55,0.43,127,28.0,1
887,Fourth,2007,Nikolay Davydenko,0.58,8,5,0.76,0.56,119.90135396518376,0.43,0.41,139,47.0,1
888,Fourth,2007,Fernando Gonzalez,0.7,18,1,0.75,0.55,119.90135396518376,0.38,0.4,114,24.0,1
889,Fourth,2007,Rafael Nadal,0.73,5,1,0.69,0.55,119.90135396518376,0.44,0.38,166,32.0,1
890,Fourth,2007,Tommy Robredo,0.63,8,1,0.78,0.55,119.90135396518376,0.19,0.41,133,29.0,1
891,Fourth,2007,Mardy Fish,0.52,15,5,0.75,0.57,119.90135396518376,0.8,0.38,126,53.0,1
892,Fourth,2007,Roger Federer,0.63,12,1,0.8,0.67,119.90135396518376,0.63,0.45,105,26.0,1
893,Fourth,2007,Andy Roddick,0.69,16,1,0.79,0.49,119.90135396518376,0.36,0.31,134,19.0,1
894,Third,2007,Tommy Haas,0.66,6,2,0.75,0.52,119.90135396518376,0.5,0.46,119,33.0,1
895,Third,2007,Tomas Berdych,0.59,8,2,0.88,0.58,119.90135396518376,0.54,0.56,87,17.0,1
896,Third,2007,James Blake,0.63,10,3,0.8,0.66,119.90135396518376,0.46,0.41,111,36.0,1
897,Third,2007,David Nalbandian,0.63,14,6,0.68,0.49,119.90135396518376,0.36,0.43,183,57.0,1
898,Third,2007,Nikolay Davydenko,0.62,6,2,0.75,0.63,119.90135396518376,0.63,0.43,103,38.0,1
899,Third,2007,Rafael Nadal,0.74,1,3,0.84,0.39,119.90135396518376,0.64,0.53,99,19.0,1
900,Third,2007,Fernando Gonzalez,0.66,19,3,0.73,0.66,119.90135396518376,0.32,0.41,125,15.0,1
901,Third,2007,Andy Murray,0.71,9,2,0.69,0.48,119.90135396518376,0.4,0.49,101,31.0,1
902,Third,2007,Novak Djokovic,0.74,15,1,0.68,0.55,119.90135396518376,0.47,0.44,131,55.0,1
903,Third,2007,Andy Roddick,0.65,14,2,0.73,0.58,119.90135396518376,0.25,0.37,135,33.0,1
904,Third,2007,Mardy Fish,0.75,3,0,1.0,1.0,119.90135396518376,0.67,0.8,12,0.0,1
905,Third,2007,David Ferrer,0.65,3,1,0.73,0.38,119.90135396518376,0.34,0.44,179,58.0,1
906,Third,2007,Mario Ancic,0.76,13,0,0.74,0.5,119.90135396518376,0.88,0.56,94,19.0,1
907,Third,2007,Richard Gasquet,0.76,6,2,0.79,0.58,119.90135396518376,0.67,0.41,117,22.0,1
908,Third,2007,Roger Federer,0.53,7,1,0.83,0.53,119.90135396518376,0.5,0.4,109,33.0,1
909,Third,2007,Tommy Robredo,0.69,18,2,0.78,0.69,119.90135396518376,0.63,0.38,124,18.0,1
910,Second,2007,Tommy Haas,0.76,18,1,0.86,0.67,119.90135396518376,0.44,0.41,100,9.0,1
911,Second,2007,Sebastien Grosjean,0.5,20,0,0.79,0.49,119.90135396518376,0.32,0.4,168,53.0,1
912,Second,2007,Lleyton Hewitt,0.47,14,12,0.8,0.5,119.90135396518376,0.83,0.38,118,42.0,1
913,Second,2007,Fabrice Santoro,0.48,13,2,0.83,0.67,119.90135396518376,0.36,0.42,97,11.0,1
914,Second,2007,Juan Ignacio Chela,0.59,6,3,0.72,0.57,119.90135396518376,0.42,0.39,118,40.0,1
915,Second,2007,Rafael Nadal,0.65,4,6,0.7,0.5,119.90135396518376,0.33,0.45,136,29.0,1
916,Second,2007,Robby Ginepri,0.65,10,2,0.75,0.49,119.90135396518376,0.25,0.44,123,27.0,1
917,Second,2007,Dmitry Tursunov,0.53,9,5,0.84,0.51,119.90135396518376,0.44,0.42,113,11.0,1
918,Second,2007,Nikolay Davydenko,0.67,7,0,0.74,0.62,119.90135396518376,0.6,0.47,96,12.0,1
919,Second,2007,David Nalbandian,0.62,4,2,0.86,0.63,119.90135396518376,0.43,0.33,90,27.0,1
920,Second,2007,Florian Mayer,0.52,8,5,0.65,0.5,119.90135396518376,0.53,0.49,131,40.0,1
921,Second,2007,James Blake,0.61,6,1,0.76,0.63,119.90135396518376,0.64,0.51,87,13.0,1
922,Second,2007,Fernando Gonzalez,0.61,18,4,0.8,0.47,119.90135396518376,0.6,0.37,160,50.0,1
923,Second,2007,Andy Murray,0.52,4,0,0.67,0.5,119.90135396518376,0.41,0.49,117,19.0,1
924,Second,2007,Stanislas Wawrinka,0.65,21,2,0.85,0.5,119.90135396518376,0.56,0.42,90,32.0,1
925,Second,2007,Tomas Berdych,0.65,4,4,0.77,0.49,119.90135396518376,0.26,0.47,115,31.0,1
926,Second,2007,Radek Stepanek,0.66,16,1,0.7,0.56,119.90135396518376,0.55,0.35,147,39.0,1
927,Second,2007,Gael Monfils,0.57,11,4,0.69,0.54,119.90135396518376,0.35,0.4,116,38.0,1
928,Second,2007,Novak Djokovic,0.69,8,1,0.69,0.67,119.90135396518376,0.4,0.49,103,19.0,1
929,Second,2007,David Ferrer,0.61,5,0,0.73,0.64,119.90135396518376,0.54,0.42,121,32.0,1
930,Second,2007,Mikhail Youzhny,0.47,8,6,0.78,0.46,119.90135396518376,0.47,0.48,113,28.0,1
931,Second,2007,Tommy Robredo,0.67,5,1,0.7,0.52,119.90135396518376,0.5,0.56,96,22.0,1
932,Second,2007,Mardy Fish,0.53,17,3,0.87,0.43,119.90135396518376,0.36,0.37,131,46.0,1
933,Second,2007,Andy Roddick,0.67,18,2,0.84,0.61,119.90135396518376,0.33,0.32,100,22.0,1
934,Second,2007,Wayne Arthurs,0.64,26,8,0.81,0.53,119.90135396518376,0.63,0.36,126,21.0,1
935,Second,2007,Mario Ancic,0.7,8,3,0.67,0.59,119.90135396518376,0.58,0.43,117,36.0,1
936,Second,2007,Roger Federer,0.64,7,1,0.74,0.67,119.90135396518376,0.58,0.53,93,19.0,1
937,Second,2007,Marat Safin,0.65,13,6,0.64,0.49,119.90135396518376,0.5,0.42,160,55.0,1
938,Second,2007,Dominik Hrbaty,0.54,4,2,0.7,0.52,119.90135396518376,0.28,0.44,147,55.0,1
939,Second,2007,Richard Gasquet,0.66,5,1,0.85,0.64,119.90135396518376,0.71,0.49,90,14.0,1
940,Second,2007,Sam Querrey,0.61,16,4,0.85,0.63,119.90135396518376,0.33,0.43,104,21.0,1
941,Second,2007,Danai Udomchoke,0.58,7,11,0.73,0.49,119.90135396518376,0.3,0.44,166,55.0,1
942,First,2007,Alex Kuznetsov,0.63,26,5,0.78,0.5,119.90135396518376,0.41,0.37,165,67.0,1
943,First,2007,James Blake,0.57,18,1,0.82,0.73,119.90135396518376,0.6,0.42,112,21.0,1
944,First,2007,Olivier Rochus,0.64,6,6,0.85,0.58,119.90135396518376,0.25,0.33,196,21.0,1
945,First,2007,Nicolas Lapentti,0.66,2,2,0.7,0.52,119.90135396518376,0.4,0.47,107,24.0,1
