,round,year,player,firstServe,ace,double,firstPointWon,secPointWon,avgSecServe,break,return,total,error,temp_winner
58,Second,2009,Amer Delic,0.59,33,5,0.69,0.64,0.0,0.27,0.3,153,33.38345266507557,1
59,Second,2009,Yen0Hsun Lu,0.63,9,4,0.71,0.53,150.0,0.57,0.41,167,60.0,1
60,Second,2009,Gilles Muller,0.67,27,4,0.83,0.53,159.0,0.29,0.43,120,29.0,1
61,Second,2009,Marin Cilic,0.59,22,2,0.78,0.46,148.0,0.39,0.44,134,46.0,1
62,Second,2009,Juan Martin Del Potro,0.66,7,0,0.67,0.68,158.0,0.64,0.49,92,30.0,1
63,First,2009,James Blake,0.66,7,5,0.8,0.45,145.0,0.4,0.45,109,21.0,1
64,First,2009,Roko Karanusic,0.63,8,5,0.72,0.44,0.0,0.6,0.4,131,33.38345266507557,1
65,First,2009,Fernando Gonzalez,0.57,12,4,0.8,0.51,143.0,0.5,0.42,145,58.0,1
66,First,2009,Andy Murray,0.65,2,3,1.0,0.45,130.0,0.75,0.54,46,11.0,1
67,First,2009,Radek Stepanek,0.67,9,3,0.7,0.67,0.0,0.31,0.38,126,33.38345266507557,1
68,First,2009,Victor Hanescu,0.72,9,4,0.62,0.53,0.0,0.33,0.41,188,33.38345266507557,1
69,First,2009,Stefan Koubek,0.54,4,4,0.79,0.5,0.0,0.44,0.54,96,33.38345266507557,1
70,First,2009,Ernests Gulbis,0.64,11,1,0.83,0.59,0.0,0.83,0.37,80,33.38345266507557,1
71,First,2009,Mario Ancic,0.69,12,2,0.78,0.56,0.0,0.45,0.39,128,33.38345266507557,1
72,First,2009,Fernando Verdasco,0.72,7,4,0.8,0.53,142.0,0.58,0.58,86,18.0,1
73,First,2009,Arnaud Clement,0.42,2,2,0.71,0.47,0.0,0.47,0.44,146,33.38345266507557,1
74,First,2009,Michael Berrer,0.53,9,3,0.79,0.53,146.0,0.31,0.53,114,18.0,1
75,First,2009,Andreas Beck,0.69,1,2,0.7,0.67,0.0,0.53,0.55,92,33.38345266507557,1
76,First,2009,Tommy Haas,0.48,10,5,0.86,0.5,154.0,0.46,0.46,102,32.0,1
77,First,2009,Denis Istomin,0.59,10,5,0.79,0.5,119.90135396518376,0.54,0.51,101,33.38345266507557,1
78,First,2009,Gael Monfils,0.51,9,7,0.83,0.42,142.0,0.38,0.51,117,49.0,1
79,First,2009,Igor Andreev,0.59,13,7,0.83,0.46,0.0,0.5,0.41,159,33.38345266507557,1
80,First,2009,Sebastien de Chaunac,0.5,12,5,0.75,0.47,0.0,0.86,0.43,114,33.38345266507557,1
81,First,2009,Ivan Ljubicic,0.68,26,4,0.71,0.46,0.0,0.47,0.41,180,33.38345266507557,1
82,First,2009,Fabio Fognini,0.56,4,7,0.79,0.53,0.0,0.33,0.37,136,33.38345266507557,1
83,Final,2010,Roger Federer,0.66,11,2,0.72,0.61,153.0,0.33,0.37,116,42.0,1
84,semi,2010,Roger Federer,0.64,4,0,0.84,0.68,152.0,0.5,0.41,85,13.0,1
85,semi,2010,Andy Murray,0.63,5,1,0.76,0.57,148.0,0.31,0.39,125,29.0,1
86,quarter,2010,Roger Federer,0.6,9,4,0.67,0.49,150.0,0.57,0.47,125,43.0,1
87,quarter,2010,Jo0Wilfried Tsonga,0.64,19,2,0.68,0.48,150.0,0.67,0.36,158,55.0,1
