minimum,maximum,win,lose
0.000000000000000000e+00,2.000000000000000111e-01,1.578947368421052544e-01,8.421052631578946901e-01
2.000000000000000111e-01,4.000000000000000222e-01,8.740359897172236825e-02,9.125964010282776595e-01
4.000000000000000222e-01,6.000000000000000888e-01,4.836811128945960325e-01,5.163188871054039675e-01
6.000000000000000888e-01,8.000000000000000444e-01,8.958333333333333703e-01,1.041666666666666713e-01
8.000000000000000444e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
