minimum,maximum,win,lose
0.000000000000000000e+00,2.000000000000000111e-01,2.500000000000000000e-01,7.500000000000000000e-01
2.000000000000000111e-01,4.000000000000000222e-01,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000222e-01,6.000000000000000888e-01,3.015075376884421982e-02,9.698492462311557594e-01
6.000000000000000888e-01,8.000000000000000444e-01,4.883846569421934070e-01,5.116153430578065375e-01
8.000000000000000444e-01,1.000000000000000000e+00,9.135559921414537765e-01,8.644400785854616798e-02
