minimum,maximum,win,lose
0.000000000000000000e+00,9.000000000000000000e+00,4.154124021673690770e-01,5.845875978326309230e-01
0.900000000000000e+01,1.800000000000000000e+01,6.437699680511181910e-01,3.562300319488818090e-01
1.800000000000000000e+01,2.700000000000000000e+01,6.373626373626373187e-01,3.626373626373626258e-01
2.700000000000000000e+01,3.600000000000000000e+01,7.142857142857143016e-01,2.857142857142856984e-01
3.600000000000000000e+01,4.500000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
