Final,0.0,0.2,0.0,1.0
semi,0.0,0.2,0.0,1.0
quarter,0.0,0.2,0.0,1.0
Fourth,0.0,0.2,0.10344827586206896,0.896551724137931
Third,0.0,0.2,0.09433962264150944,0.9056603773584906
Second,0.0,0.2,0.038834951456310676,0.9611650485436893
First,0.0,0.2,0.054187192118226604,0.9458128078817734
Final,0.2,0.4,0.6428571428571429,0.35714285714285715
semi,0.2,0.4,0.5652173913043478,0.43478260869565216
quarter,0.2,0.4,0.5555555555555556,0.4444444444444444
Fourth,0.2,0.4,0.41935483870967744,0.5806451612903226
Third,0.2,0.4,0.4358974358974359,0.5641025641025641
Second,0.2,0.4,0.4841628959276018,0.5158371040723982
First,0.2,0.4,0.44,0.56
Final,0.4,0.6000000000000001,0.5,0.5
semi,0.4,0.6000000000000001,0.5,0.5
quarter,0.4,0.6000000000000001,0.5714285714285714,0.42857142857142855
Fourth,0.4,0.6000000000000001,0.7037037037037037,0.2962962962962963
Third,0.4,0.6000000000000001,0.7094017094017094,0.2905982905982906
Second,0.4,0.6000000000000001,0.6386861313868614,0.3613138686131387
First,0.4,0.6000000000000001,0.6549815498154982,0.34501845018450183
Final,0.6000000000000001,0.8,0.25,0.75
semi,0.6000000000000001,0.8,1.0,0.0
quarter,0.6000000000000001,0.8,0.8888888888888888,0.1111111111111111
Fourth,0.6000000000000001,0.8,0.7391304347826086,0.2608695652173913
Third,0.6000000000000001,0.8,0.8,0.2
Second,0.6000000000000001,0.8,0.7777777777777778,0.2222222222222222
First,0.6000000000000001,0.8,0.725,0.275
Final,0.8,1.0,0,0
semi,0.8,1.0,0,0
quarter,0.8,1.0,0.0,1.0
Fourth,0.8,1.0,1.0,0.0
Third,0.8,1.0,0.75,0.25
Second,0.8,1.0,0.8,0.2
First,0.8,1.0,0.7,0.3
