minimum,maximum,win,lose
0.000000000000000000e+00,2.000000000000000000e+01,6.666666666666666297e-01,3.333333333333333148e-01
2.000000000000000000e+01,4.000000000000000000e+01,5.050270688321731871e-01,4.949729311678267574e-01
4.000000000000000000e+01,6.000000000000000000e+01,3.882896764252696253e-01,6.117103235747303192e-01
6.000000000000000000e+01,8.000000000000000000e+01,3.449999999999999734e-01,6.550000000000000266e-01
8.000000000000000000e+01,1.000000000000000000e+02,3.571428571428571508e-01,6.428571428571429047e-01
