Final,0,20,1.0,0.0
semi,0,20,0.5555555555555556,0.4444444444444444
quarter,0,20,0.8571428571428571,0.14285714285714285
Fourth,0,20,0.8928571428571429,0.10714285714285714
Third,0,20,0.8867924528301887,0.11320754716981132
Second,0,20,0.6618705035971223,0.3381294964028777
First,0,20,0.6170798898071626,0.38292011019283745
Final,20,40,0.5,0.5
semi,20,40,0.625,0.375
quarter,20,40,0.4888888888888889,0.5111111111111111
Fourth,20,40,0.475,0.525
Third,20,40,0.4972972972972973,0.5027027027027027
Second,20,40,0.5256410256410257,0.47435897435897434
First,20,40,0.4992272024729521,0.500772797527048
Final,40,60,0.4444444444444444,0.5555555555555556
semi,40,60,0.3333333333333333,0.6666666666666666
quarter,40,60,0.4642857142857143,0.5357142857142857
Fourth,40,60,0.38461538461538464,0.6153846153846154
Third,40,60,0.2891566265060241,0.7108433734939759
Second,40,60,0.3978494623655914,0.6021505376344086
First,40,60,0.4050179211469534,0.5949820788530465
Final,60,80,0.5,0.5
semi,60,80,0.5,0.5
quarter,60,80,0.375,0.625
Fourth,60,80,0.35714285714285715,0.6428571428571429
Third,60,80,0.4090909090909091,0.5909090909090909
Second,60,80,0.3050847457627119,0.6949152542372882
First,60,80,0.3333333333333333,0.6666666666666666
Final,80,100,0,0
semi,80,100,0.0,1.0
quarter,80,100,0,0
Fourth,80,100,0.0,1.0
Third,80,100,0.4,0.6
Second,80,100,0.4,0.6
First,80,100,0.4,0.6
Final,0,20,1.0,0.0
semi,0,20,0.5555555555555556,0.4444444444444444
quarter,0,20,0.8571428571428571,0.14285714285714285
Fourth,0,20,0.8928571428571429,0.10714285714285714
Third,0,20,0.8867924528301887,0.11320754716981132
Second,0,20,0.6618705035971223,0.3381294964028777
First,0,20,0.6170798898071626,0.38292011019283745
Final,20,40,0.5,0.5
semi,20,40,0.625,0.375
quarter,20,40,0.4888888888888889,0.5111111111111111
Fourth,20,40,0.475,0.525
Third,20,40,0.4972972972972973,0.5027027027027027
Second,20,40,0.5256410256410257,0.47435897435897434
First,20,40,0.4992272024729521,0.500772797527048
Final,40,60,0.4444444444444444,0.5555555555555556
semi,40,60,0.3333333333333333,0.6666666666666666
quarter,40,60,0.4642857142857143,0.5357142857142857
Fourth,40,60,0.38461538461538464,0.6153846153846154
Third,40,60,0.2891566265060241,0.7108433734939759
Second,40,60,0.3978494623655914,0.6021505376344086
First,40,60,0.4050179211469534,0.5949820788530465
Final,60,80,0.5,0.5
semi,60,80,0.5,0.5
quarter,60,80,0.375,0.625
Fourth,60,80,0.35714285714285715,0.6428571428571429
Third,60,80,0.4090909090909091,0.5909090909090909
Second,60,80,0.3050847457627119,0.6949152542372882
First,60,80,0.3333333333333333,0.6666666666666666
Final,80,100,0,0
semi,80,100,0.0,1.0
quarter,80,100,0,0
Fourth,80,100,0.0,1.0
Third,80,100,0.4,0.6
Second,80,100,0.4,0.6
First,80,100,0.4,0.6
