minimum,maximum,win,lose
0.000000000000000000e+00,5.000000000000000000e+00,5.633724176437744369e-01,4.366275823562255631e-01
5.000000000000000000e+00,1.000000000000000000e+01,3.842645381984036712e-01,6.157354618015963288e-01
1.000000000000000000e+01,1.500000000000000000e+01,3.793103448275861878e-01,6.206896551724138122e-01
1.500000000000000000e+01,2.000000000000000000e+01,4.615384615384615641e-01,5.384615384615384359e-01
2.000000000000000000e+01,2.500000000000000000e+01,2.500000000000000000e-01,7.500000000000000000e-01
